
# = Clock number (1-4)
T = Clock Type; 1 = Rubidium, 2 = Cesium
times are in seconds since Unix Epoch (1/1/1970 00:00:00)

SVN #/T PRN Start_Time - Stop_Time   => Clk_Turn-on
 032 4/2 01  728179200 -  795484800  =>  728179200
 032 1/1 01  795484800 -  799891200  =>  795484800
 032 2/1 01  799891200 -  840412800  =>  799891200
 032 3/2 01  840412800 - 1205712000  =>  840412800
 037 2/1 01 1224731700 - 1227398400  => 1187654400
 049 2/1 01 1238112000 - 1304524800  => 1238112000
 035 1/1 01 1306886400 - 1310504400  => 1126051200
 063 3/2 01 1311127200 - 1317830400  => 1311127200
 063 1/1 01 1317830400 - 99999999999  => 1317830400
 013 3/2 02  614131200 - 1077408000  =>  614131200
 061 3/1 02 1100044800 - 1209168000  => 1100044800
 061 1/1 02 1209168000 - 99999999999  => 1209168000
 011 4/2 03  498441600 -  599875200  =>  498441600
 011 1/1 03  599875200 -  762480000  =>  599875200
 011 2/1 03  762480000 -  764380800  =>  762480000
 011 3/1 03  764380800 -  766368000  =>  764380800
 033 3/2 03  828662400 - 1150588800  =>  828662400
 033 2/1 03 1150588800 - 1156723200  => 1150588800
 033 1/1 03 1156723200 - 1167609600  => 1156723200
 033 4/2 03 1167609600 - 1408393800  => 1167609600
 069 1/1 03 1409097600 - 1409184000  => 1409097600
 035 1/1 03 1409936400 - 1411574400  => 1126051200
 069 1/1 03 1416528000 - 99999999999  => 1416528000
 001 1/1 04  315964800 -  339811200  =>  298080000
 001 2/1 04  339811200 -  490406400  =>  339811200
 034 4/2 04  751507200 -  905731200  =>  751507200
 034 1/1 04  905731200 - 99999999999  =>  905731200
 005 1/1 05  319420800 -  355449600  =>  319420800
 005 4/2 05  355449600 -  453081600  =>  355449600
 035 3/2 05  746668800 - 1054512000  =>  746668800
 035 2/1 05 1054512000 - 1065571200  => 1054512000
 035 4/2 05 1065571200 - 1126051200  => 1065571200
 035 1/1 05 1126051200 - 1238025600  => 1126051200
 050 1/1 05 1250726400 - 99999999999  => 1250726400
 003 2/1 06  315964800 -  677894400  =>  285638400
 003 3/1 06  677894400 -  704592000  =>  677894400
 036 2/1 06  763171200 -  799286400  =>  763171200
 036 4/2 06  799286400 - 1076544000  =>  799286400
 036 3/2 06 1076544000 - 1079654400  => 1076544000
 036 1/1 06 1079654400 - 1393864200  => 1079654400
 067 1/1 06 1395446400 - 1395554400  => 1395446400
 049 2/1 06 1396483200 - 1399309200  => 1396483200
