theta (deg),directivity (dB)
0.000000,13.760000
2.000000,13.624303
4.000000,13.308308
6.000000,13.057999
8.000000,13.107543
10.000000,13.430711
12.000000,13.755114
14.000000,13.793442
16.000000,13.357869
18.000000,12.333738
20.000000,10.638482
22.000000,8.200405
24.000000,4.976349
26.000000,1.127604
28.000000,-2.429584
30.000000,-4.258575
32.000000,-4.926322
34.000000,-5.733718
36.000000,-7.039326
38.000000,-8.795970
40.000000,-10.823977
42.000000,-12.596875
44.000000,-13.133088
46.000000,-12.275150
48.000000,-11.038663
50.000000,-10.111806
52.000000,-9.676419
54.000000,-9.720141
56.000000,-10.127730
58.000000,-10.610881
60.000000,-10.723013
62.000000,-10.249056
64.000000,-9.458800
66.000000,-8.718880
68.000000,-8.216635
70.000000,-8.008103
72.000000,-8.104606
74.000000,-8.510973
76.000000,-9.229991
78.000000,-10.253508
80.000000,-11.518434
82.000000,-12.840407
84.000000,-13.906048
86.000000,-14.456299
88.000000,-14.530958
90.000000,-14.356380
