theta (deg),gain (dBi)
0.000000,13.750000
2.000000,13.573291
4.000000,13.299319
6.000000,13.494197
8.000000,14.203900
10.000000,14.840080
12.000000,14.898473
14.000000,14.152025
16.000000,12.502752
18.000000,9.869068
20.000000,6.162264
22.000000,1.552764
24.000000,-2.010715
26.000000,-2.336086
28.000000,-2.174934
30.000000,-2.664255
32.000000,-3.132758
34.000000,-3.141984
36.000000,-3.168344
38.000000,-3.591827
40.000000,-4.233623
42.000000,-4.773850
44.000000,-5.171745
46.000000,-5.484441
48.000000,-5.593569
50.000000,-5.498017
52.000000,-5.518122
54.000000,-6.021144
56.000000,-7.159325
58.000000,-8.732441
60.000000,-10.028097
62.000000,-10.325930
64.000000,-10.021854
66.000000,-9.939391
68.000000,-10.405222
70.000000,-11.342584
72.000000,-12.448649
74.000000,-13.342831
76.000000,-13.851118
78.000000,-14.130184
80.000000,-14.442199
82.000000,-14.961990
84.000000,-15.765518
86.000000,-16.834865
88.000000,-18.026628
90.000000,-19.002264
